Number Of Cars,0,Number Of Bicycles,0,Average age,0:15,Household Size,1,Household Income,High,9,7
Number Of Cars,0,Number Of Bicycles,0,Average age,0:15,Household Size,1,Household Income,Low,7,2
Number Of Cars,0,Number Of Bicycles,0,Average age,0:15,Household Size,2,Household Income,High,6,10
Number Of Cars,0,Number Of Bicycles,0,Average age,0:15,Household Size,2,Household Income,Low,9,10
Number Of Cars,0,Number Of Bicycles,0,Average age,0:15,Household Size,3,Household Income,High,6,3
Number Of Cars,0,Number Of Bicycles,0,Average age,0:15,Household Size,3,Household Income,Low,9,8
Number Of Cars,0,Number Of Bicycles,0,Average age,16:20,Household Size,1,Household Income,High,2,2
Number Of Cars,0,Number Of Bicycles,0,Average age,16:20,Household Size,1,Household Income,Low,7,1
Number Of Cars,0,Number Of Bicycles,0,Average age,16:20,Household Size,2,Household Income,High,9,9
Number Of Cars,0,Number Of Bicycles,0,Average age,16:20,Household Size,2,Household Income,Low,2,4
Number Of Cars,0,Number Of Bicycles,0,Average age,16:20,Household Size,3,Household Income,High,4,0
Number Of Cars,0,Number Of Bicycles,0,Average age,16:20,Household Size,3,Household Income,Low,5,3
Number Of Cars,0,Number Of Bicycles,0,Average age,21:25,Household Size,1,Household Income,High,6,5
Number Of Cars,0,Number Of Bicycles,0,Average age,21:25,Household Size,1,Household Income,Low,4,3
Number Of Cars,0,Number Of Bicycles,0,Average age,21:25,Household Size,2,Household Income,High,1,1
Number Of Cars,0,Number Of Bicycles,0,Average age,21:25,Household Size,2,Household Income,Low,7,7
Number Of Cars,0,Number Of Bicycles,0,Average age,21:25,Household Size,3,Household Income,High,8,2
Number Of Cars,0,Number Of Bicycles,0,Average age,21:25,Household Size,3,Household Income,Low,10,10
Number Of Cars,0,Number Of Bicycles,0,Average age,26:30,Household Size,1,Household Income,High,2,2
Number Of Cars,0,Number Of Bicycles,0,Average age,26:30,Household Size,1,Household Income,Low,7,2
Number Of Cars,0,Number Of Bicycles,0,Average age,26:30,Household Size,2,Household Income,High,9,4
Number Of Cars,0,Number Of Bicycles,0,Average age,26:30,Household Size,2,Household Income,Low,10,14
Number Of Cars,0,Number Of Bicycles,0,Average age,26:30,Household Size,3,Household Income,High,9,3
Number Of Cars,0,Number Of Bicycles,0,Average age,26:30,Household Size,3,Household Income,Low,4,1
Number Of Cars,0,Number Of Bicycles,0,Average age,31:50,Household Size,1,Household Income,High,7,12
Number Of Cars,0,Number Of Bicycles,0,Average age,31:50,Household Size,1,Household Income,Low,10,5
Number Of Cars,0,Number Of Bicycles,0,Average age,31:50,Household Size,2,Household Income,High,1,1
Number Of Cars,0,Number Of Bicycles,0,Average age,31:50,Household Size,2,Household Income,Low,10,7
Number Of Cars,0,Number Of Bicycles,0,Average age,31:50,Household Size,3,Household Income,High,2,2
Number Of Cars,0,Number Of Bicycles,0,Average age,31:50,Household Size,3,Household Income,Low,3,9
Number Of Cars,0,Number Of Bicycles,0,Average age,51:60,Household Size,1,Household Income,High,6,6
Number Of Cars,0,Number Of Bicycles,0,Average age,51:60,Household Size,1,Household Income,Low,4,2
Number Of Cars,0,Number Of Bicycles,0,Average age,51:60,Household Size,2,Household Income,High,7,1
Number Of Cars,0,Number Of Bicycles,0,Average age,51:60,Household Size,2,Household Income,Low,2,7
Number Of Cars,0,Number Of Bicycles,0,Average age,51:60,Household Size,3,Household Income,High,1,0
Number Of Cars,0,Number Of Bicycles,0,Average age,51:60,Household Size,3,Household Income,Low,5,8
